iter	Passed	Remaining
230	2803	9332
231	2813	9313
232	2823	9293
233	2833	9276
234	2844	9259
235	2854	9240
236	2863	9217
237	2873	9200
238	2884	9184
239	2893	9163
240	2902	9140
241	2909	9113
242	2921	9100
243	2930	9080
244	2938	9054
245	2946	9032
246	2954	9007
247	2962	8984
248	2969	8957
249	2977	8931
250	2987	8915
251	2995	8890
252	3005	8873
253	3013	8849
254	3023	8832
255	3035	8821
256	3047	8810
257	3058	8795
258	3070	8783
259	3085	8782
260	3098	8772
261	3113	8771
262	3127	8765
263	3142	8761
264	3156	8755
265	3170	8749
266	3187	8750
267	3201	8744
268	3215	8738
269	3229	8732
270	3240	8717
271	3250	8700
272	3262	8687
273	3273	8673
274	3285	8662
275	3295	8644
276	3305	8628
277	3318	8618
278	3327	8600
279	3339	8586
280	3347	8565
281	3356	8545
282	3366	8529
283	3380	8521
284	3392	8510
285	3401	8491
286	3410	8473
287	3421	8458
288	3431	8443
289	3439	8421
290	3450	8406
291	3460	8390
292	3468	8370
293	3477	8349
294	3485	8328
295	3494	8311
296	3503	8293
297	3515	8281
298	3524	8263
299	3533	8245
300	3545	8233
301	3556	8220
302	3564	8199
303	3579	8195
304	3595	8193
305	3609	8187
306	3625	8184
307	3640	8179
308	3654	8172
309	3667	8162
310	3676	8143
311	3683	8122
312	3694	8109
313	3704	8092
314	3713	8076
315	3724	8061
316	3733	8043
317	3741	8025
318	3752	8011
319	3760	7991
320	3769	7972
321	3778	7955
322	3786	7936
323	3794	7917
324	3802	7897
325	3810	7878
326	3818	7858
327	3829	7844
328	3838	7829
329	3846	7809
330	3854	7790
331	3863	7773
332	3871	7755
333	3882	7742
334	3890	7723
335	3900	7707
336	3908	7688
337	3917	7673
338	3925	7654
339	3940	7648
340	3953	7640
341	3965	7629
342	3978	7621
343	3993	7615
344	4004	7603
345	4016	7592
346	4025	7575
347	4042	7573
348	4053	7561
349	4065	7550
350	4078	7541
351	4087	7524
352	4097	7509
353	4106	7493
354	4114	7476
355	4124	7460
356	4132	7442
357	4141	7426
358	4152	7414
359	4162	7400
360	4174	7389
361	4182	7371
362	4190	7354
363	4201	7340
364	4209	7324
365	4218	7306
366	4229	7294
367	4237	7277
368	4248	7264
369	4256	7247
370	4265	7231
371	4278	7222
372	4290	7212
373	4301	7200
374	4311	7185
375	4322	7174
376	4331	7157
377	4338	7139
378	4346	7121
379	4353	7102
380	4360	7084
381	4368	7068
382	4379	7055
383	4388	7039
384	4397	7024
385	4406	7009
386	4415	6994
387	4426	6982
388	4437	6969
389	4446	6955
390	4456	6941
391	4465	6925
392	4473	6909
393	4481	6892
394	4490	6878
395	4501	6865
396	4511	6852
397	4521	6838
398	4530	6823
399	4539	6808
400	4548	6793
401	4557	6779
402	4565	6762
403	4575	6749
404	4584	6735
405	4593	6719
406	4603	6707
407	4614	6694
408	4622	6679
409	4633	6667
410	4642	6652
411	4650	6637
412	4658	6621
413	4667	6606
414	4677	6593
415	4684	6576
416	4695	6564
417	4704	6550
418	4716	6539
419	4725	6525
420	4734	6510
421	4744	6498
422	4753	6483
423	4762	6469
424	4770	6453
425	4781	6442
426	4789	6427
427	4801	6416
428	4811	6404
429	4820	6390
430	4830	6376
431	4842	6367
432	4852	6354
433	4863	6343
434	4877	6335
435	4889	6324
436	4899	6312
437	4907	6296
438	4921	6288
439	4932	6278
440	4941	6263
441	4951	6250
442	4959	6236
443	4967	6220
444	4978	6208
445	4988	6196
446	4998	6183
447	5008	6171
448	5017	6156
449	5025	6142
450	5033	6127
451	5042	6114
452	5050	6099
453	5059	6084
454	5068	6071
455	5077	6057
456	5084	6041
457	5092	6026
458	5099	6010
459	5107	5996
460	5121	5987
461	5132	5977
462	5144	5966
463	5155	5955
464	5167	5945
465	5179	5934
466	5189	5922
467	5201	5913
468	5215	5905
469	5226	5894
470	5240	5886
471	5252	5876
472	5262	5863
473	5276	5855
474	5289	5846
475	5303	5838
476	5313	5826
477	5327	5817
478	5338	5807
479	5348	5794
480	5356	5780
481	5369	5771
482	5379	5758
483	5404	5762
484	5423	5758
485	5442	5755
486	5460	5752
487	5475	5744
488	5490	5737
489	5499	5724
490	5509	5711
491	5517	5696
492	5525	5682
493	5536	5671
494	5545	5658
495	5557	5647
496	5566	5633
497	5578	5623
498	5589	5611
499	5598	5598
500	5610	5588
501	5625	5580
502	5640	5573
503	5655	5565
504	5670	5557
505	5684	5549
506	5701	5543
507	5718	5538
508	5736	5533
509	5749	5524
510	5776	5528
511	5794	5522
512	5811	5517
513	5825	5507
514	5842	5502
515	5860	5497
516	5876	5490
517	5896	5486
518	5914	5481
519	5939	5482
520	5950	5470
521	5961	5459
522	5969	5444
523	5977	5430
524	5985	5415
525	5995	5402
526	6006	5390
527	6014	5376
528	6028	5367
529	6040	5356
530	6051	5344
531	6062	5333
532	6072	5320
533	6086	5311
534	6098	5300
535	6109	5288
536	6125	5281
537	6138	5271
538	6146	5257
539	6153	5242
540	6162	5228
541	6173	5216
542	6182	5203
543	6192	5190
544	6203	5178
545	6214	5167
546	6224	5154
547	6238	5145
548	6246	5131
549	6257	5119
550	6266	5106
551	6275	5093
552	6287	5082
553	6295	5068
554	6307	5057
555	6320	5047
556	6330	5035
557	6341	5023
558	6354	5012
559	6367	5003
560	6376	4989
561	6388	4978
562	6397	4966
563	6407	4953
564	6416	4940
565	6424	4926
566	6434	4914
567	6445	4902
568	6454	4889
569	6464	4876
570	6475	4865
571	6485	4852
572	6495	4840
573	6504	4827
574	6512	4813
575	6521	4800
576	6531	4788
577	6541	4775
578	6552	4764
579	6566	4755
580	6577	4743
581	6587	4731
582	6597	4719
583	6610	4708
584	6621	4696
585	6629	4683
586	6637	4670
587	6647	4658
588	6657	4645
589	6670	4635
590	6681	4623
591	6692	4612
592	6707	4603
593	6723	4595
594	6739	4587
595	6754	4578
596	6770	4570
597	6788	4563
598	6800	4552
599	6809	4539
600	6820	4528
601	6830	4516
602	6843	4505
603	6858	4496
604	6870	4485
605	6878	4472
606	6886	4458
607	6895	4446
608	6908	4435
609	6917	4422
610	6925	4409
611	6934	4396
612	6941	4382
613	6949	4369
614	6957	4355
615	6966	4342
616	6974	4329
617	6985	4317
618	6999	4308
619	7016	4300
620	7028	4289
621	7039	4277
622	7049	4266
623	7061	4255
624	7073	4244
625	7088	4235
626	7100	4223
627	7113	4213
628	7126	4203
629	7142	4194
630	7151	4182
631	7161	4169
632	7169	4156
633	7177	4143
634	7188	4132
635	7202	4121
636	7214	4111
637	7227	4101
638	7241	4091
639	7255	4081
640	7268	4070
641	7278	4058
642	7288	4046
643	7297	4034
644	7307	4021
645	7317	4009
646	7329	3999
647	7339	3986
648	7347	3973
649	7354	3960
650	7363	3947
651	7372	3934
652	7381	3922
653	7390	3909
654	7399	3897
655	7407	3884
656	7416	3872
657	7426	3860
658	7436	3847
659	7443	3834
660	7452	3822
661	7461	3809
662	7469	3796
663	7479	3784
664	7487	3771
665	7494	3758
666	7504	3746
667	7513	3734
668	7524	3723
669	7534	3710
670	7543	3698
671	7554	3687
672	7565	3675
673	7578	3665
674	7589	3654
675	7598	3642
676	7608	3630
677	7617	3617
678	7626	3605
679	7634	3592
680	7643	3580
681	7653	3568
682	7662	3556
683	7671	3544
684	7682	3532
685	7691	3520
686	7703	3509
687	7715	3498
688	7727	3487
689	7736	3476
690	7745	3463
691	7754	3451
692	7762	3438
693	7770	3426
694	7780	3414
695	7789	3402
696	7797	3389
697	7805	3377
698	7814	3364
699	7823	3352
700	7831	3340
701	7839	3327
702	7847	3315
703	7856	3303
704	7864	3291
705	7873	3278
706	7881	3266
707	7889	3253
708	7899	3242
709	7909	3230
710	7918	3218
711	7928	3206
712	7938	3195
713	7948	3183
714	7958	3172
715	7967	3160
716	7976	3148
717	7984	3136
718	7993	3123
719	8002	3112
720	8011	3100
721	8022	3088
722	8034	3078
723	8048	3068
724	8058	3056
725	8071	3046
726	8083	3035
727	8095	3024
728	8103	3012
729	8112	3000
730	8121	2988
731	8128	2976
732	8136	2963
733	8143	2951
734	8151	2938
735	8159	2926
736	8169	2915
737	8178	2903
738	8188	2892
739	8196	2879
740	8206	2868
741	8214	2856
742	8225	2845
743	8234	2833
744	8242	2821
745	8251	2809
746	8260	2797
747	8269	2785
748	8277	2773
749	8286	2762
750	8294	2749
751	8303	2738
752	8312	2726
753	8321	2715
754	8330	2703
755	8340	2691
756	8351	2680
757	8360	2669
758	8368	2657
759	8378	2645
760	8388	2634
761	8396	2622
762	8404	2610
763	8411	2598
764	8419	2586
765	8426	2574
766	8436	2562
767	8443	2550
768	8452	2538
769	8459	2526
770	8467	2515
771	8476	2503
772	8485	2491
773	8494	2480
774	8504	2468
775	8515	2458
776	8524	2446
777	8535	2435
778	8546	2424
779	8556	2413
780	8569	2402
781	8582	2392
782	8590	2380
783	8597	2368
784	8604	2356
785	8611	2344
786	8618	2332
787	8625	2320
788	8633	2308
789	8640	2296
790	8647	2284
791	8655	2273
792	8662	2261
793	8669	2249
794	8676	2237
795	8683	2225
796	8691	2213
797	8698	2201
798	8705	2190
799	8713	2178
800	8720	2166
801	8727	2154
802	8735	2142
803	8742	2131
804	8749	2119
805	8756	2107
806	8763	2095
807	8770	2084
808	8777	2072
809	8784	2060
810	8793	2049
811	8799	2037
812	8807	2025
813	8814	2014
814	8820	2002
815	8830	1991
816	8840	1980
817	8851	1969
818	8860	1958
819	8869	1946
820	8879	1935
821	8888	1924
822	8899	1913
823	8907	1902
824	8914	1891
825	8923	1879
826	8934	1868
827	8941	1857
828	8950	1846
829	8957	1834
830	8964	1823
831	8972	1811
832	8979	1800
833	8986	1788
834	8994	1777
835	9001	1765
836	9008	1754
837	9015	1742
838	9024	1731
839	9034	1720
840	9043	1709
841	9052	1698
842	9063	1687
843	9074	1677
844	9086	1666
845	9102	1656
846	9114	1646
847	9130	1636
848	9139	1625
849	9147	1614
850	9161	1604
851	9169	1592
852	9177	1581
853	9185	1570
854	9192	1558
855	9200	1547
856	9207	1536
857	9214	1524
858	9221	1513
859	9228	1502
860	9236	1491
861	9243	1479
862	9250	1468
863	9258	1457
864	9265	1445
865	9272	1434
866	9278	1423
867	9286	1412
868	9296	1401
869	9307	1390
870	9318	1380
871	9326	1369
872	9337	1358
873	9346	1347
874	9355	1336
875	9364	1325
876	9372	1314
877	9381	1303
878	9389	1292
879	9396	1281
880	9405	1270
881	9412	1259
882	9419	1248
883	9426	1237
884	9434	1225
885	9441	1214
886	9448	1203
887	9455	1192
888	9462	1181
889	9470	1170
890	9477	1159
891	9484	1148
892	9491	1137
893	9500	1126
894	9507	1115
895	9514	1104
896	9521	1093
897	9530	1082
898	9539	1071
899	9546	1060
900	9554	1049
901	9562	1038
902	9569	1027
903	9576	1017
904	9583	1006
905	9595	995
906	9604	984
907	9617	974
908	9625	963
909	9634	952
910	9645	942
911	9652	931
912	9659	920
913	9667	909
914	9676	898
915	9683	887
916	9693	877
917	9703	866
918	9711	855
919	9718	845
920	9725	834
921	9733	823
922	9743	812
923	9755	802
924	9766	791
925	9774	781
926	9782	770
927	9791	759
928	9800	749
929	9808	738
930	9816	727
931	9824	716
932	9834	706
933	9847	695
934	9862	685
935	9875	675
936	9889	664
937	9899	654
938	9907	643
939	9916	632
940	9926	622
941	9941	612
942	9949	601
943	9960	590
944	9974	580
945	9985	570
946	9993	559
947	10000	548
948	10006	537
949	10013	527
950	10020	516
951	10027	505
952	10034	494
953	10041	484
954	10049	473
955	10056	462
956	10063	452
957	10072	441
958	10081	431
959	10089	420
960	10099	409
961	10109	399
962	10118	388
963	10128	378
964	10142	367
965	10151	357
966	10158	346
967	10166	336
968	10173	325
969	10180	314
970	10188	304
971	10195	293
972	10202	283
973	10209	272
974	10217	261
975	10224	251
976	10230	240
977	10237	230
978	10245	219
979	10251	209
980	10259	198
981	10266	188
982	10273	177
983	10280	167
984	10287	156
985	10295	146
986	10302	135
987	10309	125
988	10316	114
989	10323	104
990	10330	93
991	10340	83
992	10350	72
993	10359	62
994	10369	52
995	10377	41
996	10386	31
997	10394	20
998	10402	10
999	10410	0
